,paths,slide_ids,targets,preds,probs
203,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_0_Y_7680.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9800904393196106
107,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_9728_Y_4096.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9806453585624695
13,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_8192_Y_1536.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9808125495910645
536,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_14848_Y_7168.png,TCGA-KN-8431-01A-01-TS1,0,0,0.981200635433197
267,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KL-8331-01A-01-TS1/TCGA-KL-8331-01A-01-TS1_X_8192_Y_16384.png,TCGA-KL-8331-01A-01-TS1,0,0,0.9812771677970886
176,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8430-01A-01-TS1/TCGA-KN-8430-01A-01-TS1_X_9216_Y_4608.png,TCGA-KN-8430-01A-01-TS1,0,0,0.9813528656959534
227,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KL-8331-01A-01-TS1/TCGA-KL-8331-01A-01-TS1_X_7680_Y_12288.png,TCGA-KL-8331-01A-01-TS1,0,0,0.9816827774047852
902,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_512_Y_9216.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9817216396331787
226,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_10240_Y_4608.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9818933010101318
861,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KM-A7Q6-01B-01-TS1/TCGA-KM-A7Q6-01B-01-TS1_X_13312_Y_11264.png,TCGA-KM-A7Q6-01B-01-TS1,0,0,0.9821643829345703
20,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_8192_Y_512.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9821679592132568
124,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8430-01A-01-TS1/TCGA-KN-8430-01A-01-TS1_X_7680_Y_7168.png,TCGA-KN-8430-01A-01-TS1,0,0,0.9823570251464844
832,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_3584_Y_5632.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9827280640602112
7,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_8192_Y_11776.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9827920794487
642,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_16384_Y_5120.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9830129742622375
767,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KM-8477-01A-01-TS1/TCGA-KM-8477-01A-01-TS1_X_6656_Y_512.png,TCGA-KM-8477-01A-01-TS1,0,0,0.9830276966094971
343,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_11776_Y_9728.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9830904006958008
998,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_7680_Y_0.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9832181930541992
589,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KL-8340-01A-01-TS1/TCGA-KL-8340-01A-01-TS1_X_512_Y_5120.png,TCGA-KL-8340-01A-01-TS1,0,0,0.98328697681427
385,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_12800_Y_13312.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9838594198226929
108,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KL-8331-01A-01-TS1/TCGA-KL-8331-01A-01-TS1_X_5632_Y_15872.png,TCGA-KL-8331-01A-01-TS1,0,0,0.9838796257972717
253,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_10752_Y_10752.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9838922023773193
19,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_8192_Y_4608.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9838933944702148
348,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_12288_Y_11264.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9839308857917786
655,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_16896_Y_10752.png,TCGA-KN-8431-01A-01-TS1,0,0,0.984283447265625
729,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_17920_Y_4608.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9845779538154602
310,/ssd_scratch/cvit/ashishmenon/KICH/test_data_for_expt/cancer/TCGA-KN-8431-01A-01-TS1/TCGA-KN-8431-01A-01-TS1_X_11264_Y_9216.png,TCGA-KN-8431-01A-01-TS1,0,0,0.9845922589302063
