,paths,slide_ids,targets,preds,probs
347,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CJ-5684-01A-01-BS1/TCGA-CJ-5684-01A-01-BS1_X_4096_Y_2560.png,TCGA-CJ-5684-01A-01-BS1,0,0,0.9801449775695801
447,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-BP-4345-01A-01-TS1/TCGA-BP-4345-01A-01-TS1_X_2048_Y_5632.png,TCGA-BP-4345-01A-01-TS1,0,0,0.9805835485458374
917,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CZ-5467-01A-01-TS1/TCGA-CZ-5467-01A-01-TS1_X_9216_Y_4096.png,TCGA-CZ-5467-01A-01-TS1,0,0,0.9807043671607971
838,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-B8-5553-01A-01-BS1/TCGA-B8-5553-01A-01-BS1_X_3584_Y_9216.png,TCGA-B8-5553-01A-01-BS1,0,0,0.9808481931686401
318,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CJ-5684-01A-01-BS1/TCGA-CJ-5684-01A-01-BS1_X_1536_Y_2048.png,TCGA-CJ-5684-01A-01-BS1,0,0,0.98087078332901
277,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-B0-5709-01A-01-BS1/TCGA-B0-5709-01A-01-BS1_X_2560_Y_2048.png,TCGA-B0-5709-01A-01-BS1,0,0,0.9809244871139526
319,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CJ-5684-01A-01-BS1/TCGA-CJ-5684-01A-01-BS1_X_1536_Y_2560.png,TCGA-CJ-5684-01A-01-BS1,0,0,0.9809285998344421
439,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CJ-4868-01A-01-BS1/TCGA-CJ-4868-01A-01-BS1_X_3584_Y_4096.png,TCGA-CJ-4868-01A-01-BS1,0,0,0.9809445142745972
354,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-BP-4177-01A-02-BS2/TCGA-BP-4177-01A-02-BS2_X_5120_Y_1024.png,TCGA-BP-4177-01A-02-BS2,0,0,0.9810013175010681
72,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-AK-3458-01A-01-TS1/TCGA-AK-3458-01A-01-TS1_X_3072_Y_4096.png,TCGA-AK-3458-01A-01-TS1,0,0,0.981278121471405
746,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CZ-5458-01A-01-TS1/TCGA-CZ-5458-01A-01-TS1_X_8704_Y_512.png,TCGA-CZ-5458-01A-01-TS1,0,0,0.9814178347587585
312,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-BP-4177-01A-02-BS2/TCGA-BP-4177-01A-02-BS2_X_2048_Y_5120.png,TCGA-BP-4177-01A-02-BS2,0,0,0.9815748929977417
266,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CJ-4642-01B-01-TS1/TCGA-CJ-4642-01B-01-TS1_X_12288_Y_3072.png,TCGA-CJ-4642-01B-01-TS1,0,0,0.9815816879272461
643,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CZ-5458-01A-01-TS1/TCGA-CZ-5458-01A-01-TS1_X_10752_Y_2560.png,TCGA-CZ-5458-01A-01-TS1,0,0,0.9818521738052368
908,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-B8-5553-01A-01-BS1/TCGA-B8-5553-01A-01-BS1_X_5632_Y_9216.png,TCGA-B8-5553-01A-01-BS1,0,0,0.9820243120193481
820,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-B8-5553-01A-01-BS1/TCGA-B8-5553-01A-01-BS1_X_3072_Y_9216.png,TCGA-B8-5553-01A-01-BS1,0,0,0.9820398688316345
600,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-B0-5092-01A-01-BS1/TCGA-B0-5092-01A-01-BS1_X_4096_Y_2048.png,TCGA-B0-5092-01A-01-BS1,0,0,0.9822675585746765
221,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CJ-4641-01A-01-TS1/TCGA-CJ-4641-01A-01-TS1_X_8192_Y_2048.png,TCGA-CJ-4641-01A-01-TS1,0,0,0.9823577404022217
516,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-A3-A6NI-01A-01-TS1/TCGA-A3-A6NI-01A-01-TS1_X_15360_Y_5120.png,TCGA-A3-A6NI-01A-01-TS1,0,0,0.9823975563049316
60,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-AK-3458-01A-01-TS1/TCGA-AK-3458-01A-01-TS1_X_2048_Y_2560.png,TCGA-AK-3458-01A-01-TS1,0,0,0.9824773669242859
785,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-B8-5553-01A-01-BS1/TCGA-B8-5553-01A-01-BS1_X_2048_Y_9216.png,TCGA-B8-5553-01A-01-BS1,0,0,0.9824971556663513
356,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-B0-5709-01A-01-BS1/TCGA-B0-5709-01A-01-BS1_X_6656_Y_5632.png,TCGA-B0-5709-01A-01-BS1,0,0,0.982608437538147
16,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-AK-3447-01A-01-TS1/TCGA-AK-3447-01A-01-TS1_X_0_Y_1024.png,TCGA-AK-3447-01A-01-TS1,0,0,0.9826898574829102
797,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CJ-4901-01A-01-TS1/TCGA-CJ-4901-01A-01-TS1_X_9216_Y_5632.png,TCGA-CJ-4901-01A-01-TS1,0,0,0.9833256006240845
623,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-BP-5195-01A-01-BS1/TCGA-BP-5195-01A-01-BS1_X_2560_Y_7168.png,TCGA-BP-5195-01A-01-BS1,0,0,0.98373943567276
162,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-A3-3329-01A-01-BS1/TCGA-A3-3329-01A-01-BS1_X_2560_Y_7168.png,TCGA-A3-3329-01A-01-BS1,0,0,0.9837640523910522
456,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CZ-5985-01A-01-TS1/TCGA-CZ-5985-01A-01-TS1_X_15872_Y_4096.png,TCGA-CZ-5985-01A-01-TS1,0,0,0.9838809967041016
83,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-B0-5700-01A-01-BS1/TCGA-B0-5700-01A-01-BS1_X_512_Y_4096.png,TCGA-B0-5700-01A-01-BS1,0,0,0.9838888645172119
595,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CJ-4889-01A-01-BS1/TCGA-CJ-4889-01A-01-BS1_X_3072_Y_2560.png,TCGA-CJ-4889-01A-01-BS1,0,0,0.983909547328949
728,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CZ-5458-01A-01-TS1/TCGA-CZ-5458-01A-01-TS1_X_7680_Y_1536.png,TCGA-CZ-5458-01A-01-TS1,0,0,0.9840054512023926
60,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CJ-4638-01A-01-TS1/TCGA-CJ-4638-01A-01-TS1_X_2560_Y_3072.png,TCGA-CJ-4638-01A-01-TS1,0,0,0.9840723872184753
917,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CJ-4907-01A-01-TS1/TCGA-CJ-4907-01A-01-TS1_X_4608_Y_1536.png,TCGA-CJ-4907-01A-01-TS1,0,0,0.9841138124465942
863,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-EU-5904-01A-01-BS1/TCGA-EU-5904-01A-01-BS1_X_7168_Y_6144.png,TCGA-EU-5904-01A-01-BS1,0,0,0.9841600060462952
998,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CJ-5672-01A-01-BS1/TCGA-CJ-5672-01A-01-BS1_X_3072_Y_2048.png,TCGA-CJ-5672-01A-01-BS1,0,0,0.9843368530273438
533,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-BP-4345-01A-01-TS1/TCGA-BP-4345-01A-01-TS1_X_6144_Y_1536.png,TCGA-BP-4345-01A-01-TS1,0,0,0.9844372272491455
704,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-A3-A8CQ-01A-01-TS1/TCGA-A3-A8CQ-01A-01-TS1_X_16384_Y_5120.png,TCGA-A3-A8CQ-01A-01-TS1,0,0,0.9846188426017761
689,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-BP-4349-01A-01-TS1/TCGA-BP-4349-01A-01-TS1_X_3072_Y_2048.png,TCGA-BP-4349-01A-01-TS1,0,0,0.9846599698066711
894,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CZ-5467-01A-01-TS1/TCGA-CZ-5467-01A-01-TS1_X_7680_Y_3072.png,TCGA-CZ-5467-01A-01-TS1,0,0,0.984734296798706
92,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-B0-4819-01A-01-TS1/TCGA-B0-4819-01A-01-TS1_X_1024_Y_512.png,TCGA-B0-4819-01A-01-TS1,0,0,0.9847399592399597
94,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-BP-4994-01A-01-TS1/TCGA-BP-4994-01A-01-TS1_X_1536_Y_1536.png,TCGA-BP-4994-01A-01-TS1,0,0,0.9847548007965088
756,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-B8-4621-01A-01-BS1/TCGA-B8-4621-01A-01-BS1_X_512_Y_1536.png,TCGA-B8-4621-01A-01-BS1,0,0,0.9847654104232788
765,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-B8-5553-01A-01-BS1/TCGA-B8-5553-01A-01-BS1_X_1024_Y_9216.png,TCGA-B8-5553-01A-01-BS1,0,0,0.9848441481590271
445,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-A3-3380-01A-01-BS1/TCGA-A3-3380-01A-01-BS1_X_2048_Y_512.png,TCGA-A3-3380-01A-01-BS1,0,0,0.9848553538322449
648,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CJ-4901-01A-01-BS1/TCGA-CJ-4901-01A-01-BS1_X_13824_Y_512.png,TCGA-CJ-4901-01A-01-BS1,0,0,0.9849244952201843
40,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CJ-5672-01A-01-BS1/TCGA-CJ-5672-01A-01-BS1_X_8704_Y_3584.png,TCGA-CJ-5672-01A-01-BS1,0,0,0.9849772453308105
537,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CJ-4872-01A-01-TS1/TCGA-CJ-4872-01A-01-TS1_X_4608_Y_3072.png,TCGA-CJ-4872-01A-01-TS1,0,0,0.9849796891212463
443,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-BP-4345-01A-01-TS1/TCGA-BP-4345-01A-01-TS1_X_2048_Y_4096.png,TCGA-BP-4345-01A-01-TS1,0,0,0.9850463271141052
790,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-EU-5904-01A-01-BS1/TCGA-EU-5904-01A-01-BS1_X_4096_Y_5120.png,TCGA-EU-5904-01A-01-BS1,0,0,0.9851383566856384
971,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-CJ-4636-01A-01-BS1/TCGA-CJ-4636-01A-01-BS1_X_3584_Y_1536.png,TCGA-CJ-4636-01A-01-BS1,0,0,0.9852604269981384
393,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-A3-3374-01A-01-TS1/TCGA-A3-3374-01A-01-TS1_X_4096_Y_2560.png,TCGA-A3-3374-01A-01-TS1,0,0,0.9854621887207031
730,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-EU-5904-01A-01-BS1/TCGA-EU-5904-01A-01-BS1_X_1024_Y_3072.png,TCGA-EU-5904-01A-01-BS1,0,0,0.9855513572692871
919,/ssd_scratch/cvit/ashishmenon/KIRC/test_data_for_expt/cancer/TCGA-BP-4797-01A-01-TS1/TCGA-BP-4797-01A-01-TS1_X_6144_Y_1536.png,TCGA-BP-4797-01A-01-TS1,0,0,0.9855735898017883
