,paths,slide_ids,targets,preds,probs
635,/ssd_scratch/cvit/ashishmenon/KIRP/test_data_for_expt/cancer/TCGA-B3-3925-01A-01-TS1/TCGA-B3-3925-01A-01-TS1_X_512_Y_8704.png,TCGA-B3-3925-01A-01-TS1,0,0,0.9800077676773071
305,/ssd_scratch/cvit/ashishmenon/KIRP/test_data_for_expt/cancer/TCGA-DZ-6135-01A-01-TS1/TCGA-DZ-6135-01A-01-TS1_X_4096_Y_6656.png,TCGA-DZ-6135-01A-01-TS1,0,0,0.9801667332649231
990,/ssd_scratch/cvit/ashishmenon/KIRP/test_data_for_expt/cancer/TCGA-5P-A9KA-01A-01-TS1/TCGA-5P-A9KA-01A-01-TS1_X_25088_Y_13824.png,TCGA-5P-A9KA-01A-01-TS1,0,0,0.9807023406028748
243,/ssd_scratch/cvit/ashishmenon/KIRP/test_data_for_expt/cancer/TCGA-DZ-6135-01A-01-TS1/TCGA-DZ-6135-01A-01-TS1_X_2048_Y_5632.png,TCGA-DZ-6135-01A-01-TS1,0,0,0.9807126522064209
774,/ssd_scratch/cvit/ashishmenon/KIRP/test_data_for_expt/cancer/TCGA-5P-A9KA-01A-01-TS1/TCGA-5P-A9KA-01A-01-TS1_X_1536_Y_7168.png,TCGA-5P-A9KA-01A-01-TS1,0,0,0.9807354807853699
172,/ssd_scratch/cvit/ashishmenon/KIRP/test_data_for_expt/cancer/TCGA-BQ-5879-01A-01-BS1/TCGA-BQ-5879-01A-01-BS1_X_5632_Y_7168.png,TCGA-BQ-5879-01A-01-BS1,0,0,0.9808188080787659
358,/ssd_scratch/cvit/ashishmenon/KIRP/test_data_for_expt/cancer/TCGA-5P-A9JW-01A-01-TS1/TCGA-5P-A9JW-01A-01-TS1_X_20992_Y_5120.png,TCGA-5P-A9JW-01A-01-TS1,0,0,0.9808200001716614
341,/ssd_scratch/cvit/ashishmenon/KIRP/test_data_for_expt/cancer/TCGA-5P-A9JW-01A-01-TS1/TCGA-5P-A9JW-01A-01-TS1_X_19456_Y_4608.png,TCGA-5P-A9JW-01A-01-TS1,0,0,0.9810016751289368
309,/ssd_scratch/cvit/ashishmenon/KIRP/test_data_for_expt/cancer/TCGA-DZ-6135-01A-01-TS1/TCGA-DZ-6135-01A-01-TS1_X_4096_Y_8704.png,TCGA-DZ-6135-01A-01-TS1,0,0,0.9810219407081604
10,/ssd_scratch/cvit/ashishmenon/KIRP/test_data_for_expt/cancer/TCGA-MH-A560-01A-01-TSA/TCGA-MH-A560-01A-01-TSA_X_22016_Y_2560.png,TCGA-MH-A560-01A-01-TSA,0,0,0.9810224175453186
