,paths,slide_ids,targets,preds,probs
396,/ssd_scratch/cvit/ashishmenon/LUSC/test_data_for_expt/cancer/TCGA-22-4604-01A-01-BS1/TCGA-22-4604-01A-01-BS1_X_512_Y_5632.png,TCGA-22-4604-01A-01-BS1,0,0,0.9800291061401367
376,/ssd_scratch/cvit/ashishmenon/LUSC/test_data_for_expt/cancer/TCGA-85-8666-01A-01-TS1/TCGA-85-8666-01A-01-TS1_X_7168_Y_512.png,TCGA-85-8666-01A-01-TS1,0,0,0.9800430536270142
103,/ssd_scratch/cvit/ashishmenon/LUSC/test_data_for_expt/cancer/TCGA-70-6722-01A-01-BS1/TCGA-70-6722-01A-01-BS1_X_2560_Y_8192.png,TCGA-70-6722-01A-01-BS1,0,0,0.9800524711608887
463,/ssd_scratch/cvit/ashishmenon/LUSC/test_data_for_expt/cancer/TCGA-LA-A446-01A-02-TSB/TCGA-LA-A446-01A-02-TSB_X_20992_Y_3584.png,TCGA-LA-A446-01A-02-TSB,0,0,0.9801114201545715
205,/ssd_scratch/cvit/ashishmenon/LUSC/test_data_for_expt/cancer/TCGA-85-8666-01A-01-TS1/TCGA-85-8666-01A-01-TS1_X_18432_Y_15360.png,TCGA-85-8666-01A-01-TS1,0,0,0.980114758014679
313,/ssd_scratch/cvit/ashishmenon/LUSC/test_data_for_expt/cancer/TCGA-85-8479-01A-01-TS1/TCGA-85-8479-01A-01-TS1_X_2560_Y_5120.png,TCGA-85-8479-01A-01-TS1,0,0,0.9801968336105347
507,/ssd_scratch/cvit/ashishmenon/LUSC/test_data_for_expt/cancer/TCGA-39-5035-01A-01-BS1/TCGA-39-5035-01A-01-BS1_X_4096_Y_4608.png,TCGA-39-5035-01A-01-BS1,0,0,0.980223536491394
702,/ssd_scratch/cvit/ashishmenon/LUSC/test_data_for_expt/cancer/TCGA-39-5039-01A-01-BS1/TCGA-39-5039-01A-01-BS1_X_6656_Y_512.png,TCGA-39-5039-01A-01-BS1,0,0,0.9802700281143188
223,/ssd_scratch/cvit/ashishmenon/LUSC/test_data_for_expt/cancer/TCGA-96-7544-01A-01-TS1/TCGA-96-7544-01A-01-TS1_X_6144_Y_2048.png,TCGA-96-7544-01A-01-TS1,0,0,0.9802740812301636
903,/ssd_scratch/cvit/ashishmenon/LUSC/test_data_for_expt/cancer/TCGA-56-8309-01A-01-TS1/TCGA-56-8309-01A-01-TS1_X_2048_Y_1024.png,TCGA-56-8309-01A-01-TS1,0,0,0.980302095413208
819,/ssd_scratch/cvit/ashishmenon/LUSC/test_data_for_expt/cancer/TCGA-85-8666-01A-01-TS1/TCGA-85-8666-01A-01-TS1_X_11264_Y_9728.png,TCGA-85-8666-01A-01-TS1,0,0,0.9803723692893982
31,/ssd_scratch/cvit/ashishmenon/LUSC/test_data_for_expt/cancer/TCGA-18-4083-01A-01-TS1/TCGA-18-4083-01A-01-TS1_X_1024_Y_1024.png,TCGA-18-4083-01A-01-TS1,0,0,0.9803929924964905
424,/ssd_scratch/cvit/ashishmenon/LUSC/test_data_for_expt/cancer/TCGA-85-8479-01A-01-TS1/TCGA-85-8479-01A-01-TS1_X_4608_Y_10240.png,TCGA-85-8479-01A-01-TS1,0,0,0.9804598093032837
